"","Kingdom","Phylum","Class","Order","Family","Genus","Species","BNW-DC-A","BNW-DC-B","BNW-PC1-A","BNW-PC1-B","BNW-PC2-A","BNW-PC2-B","BNW-PC3-A","BNW-PC3-B","BNW-PC4-A","BNW-PC4-B","SHNW-DC1-A","SHNW-DC1-B","SHNW-DC3-A","SHNW-DC3-B","SHNW-PC1-A","SHNW-PC1-B","SHNW-PC2-A","SHNW-PC2-B","SHNW-PC3-A","SHNW-PC3-B"
"c11f8543b6bd0edd4e8fb065cf4d231f","d__Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum",NA,76,73,5,5,3,0,6,5,66,34,0,0,0,0,0,0,0,0,0,0
"f15614638ec852a1a13d53076ce826ed","d__Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","Methanimicrococcus",NA,0,0,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7472ec95c29d49174119768f69de5fef","d__Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA,7,10,0,0,2,0,8,6,4,3,0,0,0,0,0,0,0,0,0,0
"b43ce775072c45ba1797722aa94648e4","d__Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Candidatus_Methanomethylophilus",NA,2,4,0,0,0,0,1,5,0,0,66,103,77,32,7,4,16,49,61,134
"6fa5c4655757092ee8e18204d1aee364","d__Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","uncultured",NA,37,60,0,0,0,0,11,10,24,4,0,0,0,0,0,0,0,0,0,0
"6037281c238b364fc2eee33f27f3bdfe","d__Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae",NA,NA,18,45,0,0,0,0,14,18,14,23,43,18,100,76,0,0,0,0,8,17
"d72faa43a44d0acff156be88534e7c19","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,4,4,0,0,15,0,4,13,1,3,0,0,0,0,0,0,0,0,0,0
"40102321255e2efbc271b39a92d8daed","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1bcd7aa7decb9a7b3367ba34d480bea8","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella",NA,0,0,16,74,7,6,1,0,0,0,15,14,15,11,81,64,30,67,84,99
"025820c3761e0ca5af17b5785045d861","d__Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",NA,8,11,0,1,2,8,4,6,23,11,0,0,1,3,0,0,0,1,0,1
"947eea8f98d5b7fc2dab6e755910c4f6","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales",NA,82,47,3,1,36,25,90,39,124,101,53,64,30,9,13,13,13,25,90,177
"744323579dff3d0db4a04aafd3abbc35","d__Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA,1,2,6,0,0,0,1,11,2,0,17,29,32,40,28,68,3,9,29,44
"9d5e637d4afe54e642a84fa353c1f490","d__Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",NA,14,18,0,0,6,0,8,4,10,14,10,36,40,64,8,24,5,34,90,90
"7815f20467e77fbd0744bd384a2e942f","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured",NA,0,0,0,0,0,0,0,0,0,0,56,70,43,20,566,586,70,43,54,101
"3d2a65ead1aa92e07569eb18dceec4cc","d__Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","uncultured",NA,6,2,29,37,18,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0
"bffc2cbc5f9c1f1a1c5cdbc24e1d60ed","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,4
"2f4f2d2224bb0ae1f9b7fdb1237e2bb8","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8bb8e816736cb1d7c5dbfcb424a1701c","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,5,0,0,2
"793607ca65fd0eb000b95cd3628f0dad","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA,1,0,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939bd264bf3607ed9ab0032bcb7aaf55","d__Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,0,0,0,0,2,0,0,0,0,0,14,17,11,18,0,1,2,2,32,25
"963308283eb98417bd8983715a0aa68b","d__Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Mailhella",NA,0,0,0,0,0,0,0,0,0,0,7,15,4,13,19,15,9,16,22,11
"debb6c016de97e9589379258353e69b5","d__Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","uncultured",NA,0,0,58,48,17,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0
"eeb33c446cdbb13c08986ad57f36b1e8","d__Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,27,32,126,319,99,8,16,32,12,18,43,63,117,203,19,16,0,0,64,74
"78046bf7d8a1ad0dae1b3a718a9a4176","d__Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum",NA,0,0,5,10,6,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1
"7d47f268c432b1f2d0cadcf4838f6f0a","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Flexilinea",NA,19,10,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
"51a456890a86cde1ed771cd37cf6c543","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"f28642ac95e5eb2fc0344676e48dc041","d__Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA,7,3,4,0,6,8,13,5,1,6,8,1,11,5,23,4,6,4,16,7
"469c0edaef0f4a75df0371b9ec3ff462","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003",NA,2,6,299,104,88,17,5,52,0,4,0,0,0,0,0,0,0,0,0,0
"a006b6d0ffdf13ae7e1276e78a3bf644","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae",NA,NA,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,2,0
"dd6c2fd9183f0a600fad8cbe105ad6b4","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridiaceae",NA,0,0,0,0,0,0,0,0,0,0,3,9,5,7,21,41,16,8,16,1
"5bbbb11c17b27337db4f90cdc35aaf9f","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium",NA,1,0,17,1,69,13,7,5,1,4,0,0,0,0,0,0,0,0,0,0
"0abb9e6bc668dc34899c986d4e9bb5b3","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0
"1bf277683b1493b89bcd2e1db018234a","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Pygmaiobacter",NA,0,0,0,0,77,0,21,70,4,4,1,0,1,0,0,0,0,3,4,2
"22bcce8743126189b7c244d8b21ed392","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","UBA1819",NA,0,0,0,0,6,0,0,0,0,0,8,11,10,3,0,0,2,6,16,4
"1e44242730e75e511aa93c3587df9497","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA,29,46,185,170,277,276,60,72,30,37,74,103,19,15,132,112,86,105,271,176
"1d3e62e8c39cd276322ecd2c03f78404","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","V9D2013_group",NA,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0
"d45854414d5056ea9637c1675d63e62a","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Papillibacter",NA,25,27,0,0,0,0,9,2,10,29,425,329,790,707,0,0,0,0,132,93
"3e2da50cfe2ef3bdb3970fc7d9b926e0","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-007",NA,0,2,0,0,0,0,0,0,0,0,2,9,5,0,7,3,20,26,4,4
"1485c1e112bf2cdbc63c2d4aed4ab5a5","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA,81,84,8,7,57,25,122,203,60,79,57,70,101,121,45,40,90,72,97,64
"7890d807ecb73a8165bae82ae14ee009","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214_group",NA,841,665,140,88,690,136,1104,1150,687,875,189,250,433,515,57,72,66,61,243,99
"9ee055bdd109e45631460237abe67bb9","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-009",NA,2,3,0,0,0,0,0,0,1,2,0,3,6,3,0,0,1,0,4,2
"77747330bd5601fcce5ad38cc0c89daf","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae",NA,0,0,0,0,0,0,0,0,0,0,5,2,5,8,4,2,13,11,6,5
